CITY,TIMEZONE,YEAR,STR_SWH,STR_EWH,STR_TOTAL_WORKINDARK
SINOP,  3.0,2025,07:30:00,16:30:00,37:37:00 
SINOP,  3.0,2026,07:30:00,16:30:00,37:36:00 
SINOP,  3.0,2024,08:00:00,17:00:00,3:09:00  
SINOP,  3.0,2025,08:00:00,17:00:00,3:04:00  
SINOP,  3.0,2026,08:00:00,17:00:00,3:01:00  
SINOP,  3.0,2024,08:30:00,17:30:00,17:48:00 
SINOP,  3.0,2025,08:30:00,17:30:00,17:35:00 
SINOP,  3.0,2026,08:30:00,17:30:00,17:33:00 
SINOP,  3.0,2024,09:00:00,18:00:00,65:12:00 
SINOP,  3.0,2025,09:00:00,18:00:00,64:30:00 
SINOP,  3.0,2026,09:00:00,18:00:00,64:27:00 
ISTANBUL,  2.0,2024,07:00:00,16:00:00,26:06:59 
ISTANBUL,  2.0,2025,07:00:00,16:00:00,25:37:59 
ISTANBUL,  2.0,2026,07:00:00,16:00:00,25:40:59 
ISTANBUL,  2.0,2024,07:30:00,16:30:00,0:00:00  
ISTANBUL,  2.0,2025,07:30:00,16:30:00,0:00:00  
ISTANBUL,  2.0,2026,07:30:00,16:30:00,0:00:00  
ISTANBUL,  2.0,2024,08:00:00,17:00:00,20:43:59 
ISTANBUL,  2.0,2025,08:00:00,17:00:00,20:26:59 
ISTANBUL,  2.0,2026,08:00:00,17:00:00,20:25:59 
ISTANBUL,  2.0,2024,08:30:00,17:30:00,70:38:59 
ISTANBUL,  2.0,2025,08:30:00,17:30:00,69:52:59 
ISTANBUL,  2.0,2026,08:30:00,17:30:00,69:50:59 
ISTANBUL,  2.0,2024,09:00:00,18:00:00,142:22:59
ISTANBUL,  2.0,2025,09:00:00,18:00:00,141:09:59
ISTANBUL,  2.0,2026,09:00:00,18:00:00,141:06:59
ISTANBUL,  2.5,2024,07:00:00,16:00:00,79:41:00 
ISTANBUL,  2.5,2025,07:00:00,16:00:00,78:42:00 
ISTANBUL,  2.5,2026,07:00:00,16:00:00,78:43:00 
ISTANBUL,  2.5,2024,07:30:00,16:30:00,26:07:00 
ISTANBUL,  2.5,2025,07:30:00,16:30:00,25:38:00 
ISTANBUL,  2.5,2026,07:30:00,16:30:00,25:41:00 
ISTANBUL,  2.5,2024,08:00:00,17:00:00,0:00:00  
ISTANBUL,  2.5,2025,08:00:00,17:00:00,0:00:00  
ISTANBUL,  2.5,2026,08:00:00,17:00:00,0:00:00  
ISTANBUL,  2.5,2024,08:30:00,17:30:00,20:43:59 
ISTANBUL,  2.5,2025,08:30:00,17:30:00,20:26:59 
ISTANBUL,  2.5,2026,08:30:00,17:30:00,20:25:59 
ISTANBUL,  2.5,2024,09:00:00,18:00:00,70:38:59 
ISTANBUL,  2.5,2025,09:00:00,18:00:00,69:52:59 
ISTANBUL,  2.5,2026,09:00:00,18:00:00,69:50:59 
ISTANBUL,  3.0,2024,07:00:00,16:00:00,155:48:59
ISTANBUL,  3.0,2025,07:00:00,16:00:00,154:20:59
ISTANBUL,  3.0,2026,07:00:00,16:00:00,154:22:59
ISTANBUL,  3.0,2024,07:30:00,16:30:00,79:40:59 
ISTANBUL,  3.0,2025,07:30:00,16:30:00,78:41:59 
ISTANBUL,  3.0,2026,07:30:00,16:30:00,78:42:59 
ISTANBUL,  3.0,2024,08:00:00,17:00:00,26:06:59 
ISTANBUL,  3.0,2025,08:00:00,17:00:00,25:37:59 
ISTANBUL,  3.0,2026,08:00:00,17:00:00,25:40:59 
ISTANBUL,  3.0,2024,08:30:00,17:30:00,0:00:00  
ISTANBUL,  3.0,2025,08:30:00,17:30:00,0:00:00  
ISTANBUL,  3.0,2026,08:30:00,17:30:00,0:00:00  
ISTANBUL,  3.0,2024,09:00:00,18:00:00,20:43:59 
ISTANBUL,  3.0,2025,09:00:00,18:00:00,20:26:59 
ISTANBUL,  3.0,2026,09:00:00,18:00:00,20:25:59 
ARTVIN,  2.0,2024,07:00:00,16:00:00,11:18:00 
ARTVIN,  2.0,2025,07:00:00,16:00:00,11:14:00 
ARTVIN,  2.0,2026,07:00:00,16:00:00,11:12:00 
ARTVIN,  2.0,2024,07:30:00,16:30:00,54:47:00 
ARTVIN,  2.0,2025,07:30:00,16:30:00,54:14:00 
ARTVIN,  2.0,2026,07:30:00,16:30:00,54:07:59 
ARTVIN,  2.0,2024,08:00:00,17:00:00,120:30:00
ARTVIN,  2.0,2025,08:00:00,17:00:00,119:25:00
ARTVIN,  2.0,2026,08:00:00,17:00:00,119:18:59
ARTVIN,  2.0,2024,08:30:00,17:30:00,207:55:00
ARTVIN,  2.0,2025,08:30:00,17:30:00,206:20:00
ARTVIN,  2.0,2026,08:30:00,17:30:00,206:13:00
ARTVIN,  2.0,2024,09:00:00,18:00:00,318:04:59
ARTVIN,  2.0,2025,09:00:00,18:00:00,316:00:00
ARTVIN,  2.0,2026,09:00:00,18:00:00,315:54:00
ARTVIN,  2.5,2024,07:00:00,16:00:00,3:42:00  
ARTVIN,  2.5,2025,07:00:00,16:00:00,3:35:00  
ARTVIN,  2.5,2026,07:00:00,16:00:00,3:33:00  
ARTVIN,  2.5,2024,07:30:00,16:30:00,11:17:59 
ARTVIN,  2.5,2025,07:30:00,16:30:00,11:13:59 
ARTVIN,  2.5,2026,07:30:00,16:30:00,11:11:59 
ARTVIN,  2.5,2024,08:00:00,17:00:00,54:46:59 
ARTVIN,  2.5,2025,08:00:00,17:00:00,54:13:59 
ARTVIN,  2.5,2026,08:00:00,17:00:00,54:07:59 
ARTVIN,  2.5,2024,08:30:00,17:30:00,120:29:59
ARTVIN,  2.5,2025,08:30:00,17:30:00,119:24:59
ARTVIN,  2.5,2026,08:30:00,17:30:00,119:18:59
ARTVIN,  2.5,2024,09:00:00,18:00:00,207:54:59
ARTVIN,  2.5,2025,09:00:00,18:00:00,206:19:59
ARTVIN,  2.5,2026,09:00:00,18:00:00,206:12:59
ARTVIN,  3.0,2024,07:00:00,16:00:00,39:54:59 
ARTVIN,  3.0,2025,07:00:00,16:00:00,39:17:59 
ARTVIN,  3.0,2026,07:00:00,16:00:00,39:21:00 
ARTVIN,  3.0,2024,07:30:00,16:30:00,3:41:59  
ARTVIN,  3.0,2025,07:30:00,16:30:00,3:34:59  
ARTVIN,  3.0,2026,07:30:00,16:30:00,3:33:00  
ARTVIN,  3.0,2024,08:00:00,17:00:00,11:17:59 
ARTVIN,  3.0,2025,08:00:00,17:00:00,11:13:59 
ARTVIN,  3.0,2026,08:00:00,17:00:00,11:11:59 
ARTVIN,  3.0,2024,08:30:00,17:30:00,54:46:59 
ARTVIN,  3.0,2025,08:30:00,17:30:00,54:13:59 
ARTVIN,  3.0,2026,08:30:00,17:30:00,54:07:59 
ARTVIN,  3.0,2024,09:00:00,18:00:00,120:29:59
